epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.163,1.68964,3.77894,1.62026,0.00333,0.5,0.00467,0.00134,1.61851,4.12557,1.71562,2e-05,2e-05,2e-05
2,26.0416,1.72471,3.6735,1.58337,0.005,0.75,0.03585,0.01729,1.58644,3.90933,1.45625,5.8812e-05,5.8812e-05,5.8812e-05
3,38.3055,1.52896,3.32497,1.33296,0.00667,1,0.25493,0.17613,1.50298,3.56685,1.14836,9.604e-05,9.604e-05,9.604e-05
4,50.7315,1.46432,3.0948,1.24858,0.00667,1,0.25465,0.15215,1.66195,3.52758,1.12582,0.000131684,0.000131684,0.000131684
5,62.7797,1.36593,2.48781,1.14132,0.00667,1,0.31469,0.19468,1.65433,3.39304,1.08171,0.000165744,0.000165744,0.000165744
6,74.8397,1.4179,1.93384,1.10193,0.00667,1,0.54033,0.34406,1.26731,3.12893,0.97756,0.00019822,0.00019822,0.00019822
7,86.8789,1.33912,1.56511,1.04841,0.00667,1,0.56239,0.31898,1.51974,3.00469,1.14565,0.000229112,0.000229112,0.000229112
8,98.9448,1.3387,1.55044,1.13565,0.00667,1,0.56231,0.22052,1.72686,3.11721,1.29869,0.00025842,0.00025842,0.00025842
9,111.265,1.31363,1.39726,1.08267,0.00667,1,0.62347,0.28156,1.66237,3.13698,1.24553,0.000286144,0.000286144,0.000286144
10,123.205,1.26543,1.66684,1.0982,0.00667,1,0.45033,0.22581,1.47929,3.01611,1.11443,0.000312284,0.000312284,0.000312284
11,135.15,1.13965,1.40453,1.01466,0.00667,1,0.68667,0.32468,1.3236,3.05712,1.01939,0.00033684,0.00033684,0.00033684
12,147.655,1.12544,1.31169,1.00052,0.00667,1,0.59348,0.32385,1.24068,3.02239,0.97467,0.000359812,0.000359812,0.000359812
13,159.495,1.19113,1.46275,1.02804,0.00667,1,0.52394,0.29153,1.21,3.06151,0.96521,0.0003812,0.0003812,0.0003812
14,171.361,1.14322,1.29765,1.07683,0.00667,1,0.41941,0.29352,1.25146,3.06,1.02512,0.000401004,0.000401004,0.000401004
15,184.943,1.18077,1.30407,1.08453,0.00667,1,0.62304,0.37995,1.46322,3.1571,1.18652,0.000419224,0.000419224,0.000419224
16,197.439,1.06946,1.21226,1.00538,0.00667,1,0.68564,0.39218,1.52282,3.25637,1.26748,0.00043586,0.00043586,0.00043586
17,210.136,1.02865,1.17447,0.99541,0.00667,1,0.74846,0.46567,1.40829,2.957,1.19412,0.000450912,0.000450912,0.000450912
18,222.612,1.03416,1.36542,1.04257,0.00667,1,0.74879,0.5403,1.16432,2.93584,1.05674,0.00046438,0.00046438,0.00046438
19,235.019,1.04074,1.01755,0.99894,0.00667,1,0.53144,0.34589,1.23873,3.01712,1.03603,0.000476264,0.000476264,0.000476264
20,247.715,1.01319,0.9955,0.99284,0.01227,0.75,0.51692,0.33528,1.25587,3.02146,1.03003,0.000486564,0.000486564,0.000486564
21,260.158,0.94542,1.0461,0.97724,0.8831,0.5,0.51435,0.35037,1.21662,3.05124,1.09592,0.00049528,0.00049528,0.00049528
22,272.849,1.09821,1.09005,0.9787,0.00667,1,0.50983,0.34069,1.1333,3.05255,1.09477,0.000502412,0.000502412,0.000502412
23,285.835,0.88339,1.00675,0.96943,0.00667,1,0.50549,0.30688,1.15808,3.05162,1.05943,0.00050796,0.00050796,0.00050796
24,298.539,0.90648,1.06284,0.98415,0.00667,1,0.58284,0.35815,1.16675,3.0744,1.06954,0.000511924,0.000511924,0.000511924
25,311.1,0.91222,1.18487,0.95586,0.00667,1,0.74952,0.46617,1.28786,3.02807,1.0981,0.000514304,0.000514304,0.000514304
26,323.443,0.88707,1.03399,0.94923,0.00667,1,0.74952,0.49103,1.30388,2.98698,1.1071,0.0005151,0.0005151,0.0005151
27,335.881,0.97523,1.02219,0.97506,0.01327,0.75,0.74933,0.49091,1.23985,2.93099,1.08036,0.000514312,0.000514312,0.000514312
28,348.518,0.89032,0.9848,0.96873,0.01327,0.75,0.74933,0.49091,1.23985,2.93099,1.08036,0.00051194,0.00051194,0.00051194
